"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","LIFEEXP","MEN","YR","A","2018",79.4,
"AUT","LIFEEXP","MEN","YR","A","2019",79.7,
"AUT","LIFEEXP","MEN","YR","A","2020",78.9,
"AUT","LIFEEXP","MEN","YR","A","2021",78.8,
"AUT","LIFEEXP","WOMEN","YR","A","2018",84.1,
"AUT","LIFEEXP","WOMEN","YR","A","2019",84.2,
"AUT","LIFEEXP","WOMEN","YR","A","2020",83.6,
"AUT","LIFEEXP","WOMEN","YR","A","2021",83.8,
"BEL","LIFEEXP","MEN","YR","A","2018",79.4,
"BEL","LIFEEXP","MEN","YR","A","2019",79.8,
"BEL","LIFEEXP","MEN","YR","A","2020",78.6,
"BEL","LIFEEXP","MEN","YR","A","2021",79.5,
"BEL","LIFEEXP","WOMEN","YR","A","2018",83.9,
"BEL","LIFEEXP","WOMEN","YR","A","2019",84.3,
"BEL","LIFEEXP","WOMEN","YR","A","2020",83,
"BEL","LIFEEXP","WOMEN","YR","A","2021",84.4,
"CZE","LIFEEXP","MEN","YR","A","2018",76.2,
"CZE","LIFEEXP","MEN","YR","A","2019",76.4,
"CZE","LIFEEXP","MEN","YR","A","2020",75.3,
"CZE","LIFEEXP","MEN","YR","A","2021",74.3,
"CZE","LIFEEXP","WOMEN","YR","A","2018",82,
"CZE","LIFEEXP","WOMEN","YR","A","2019",82.2,
"CZE","LIFEEXP","WOMEN","YR","A","2020",81.3,
"CZE","LIFEEXP","WOMEN","YR","A","2021",80.6,
"DNK","LIFEEXP","MEN","YR","A","2018",79.1,
"DNK","LIFEEXP","MEN","YR","A","2019",79.5,
"DNK","LIFEEXP","MEN","YR","A","2020",79.7,
"DNK","LIFEEXP","MEN","YR","A","2021",79.6,
"DNK","LIFEEXP","WOMEN","YR","A","2018",82.9,
"DNK","LIFEEXP","WOMEN","YR","A","2019",83.5,
"DNK","LIFEEXP","WOMEN","YR","A","2020",83.6,
"DNK","LIFEEXP","WOMEN","YR","A","2021",83.3,
"FIN","LIFEEXP","MEN","YR","A","2018",79.1,
"FIN","LIFEEXP","MEN","YR","A","2019",79.3,
"FIN","LIFEEXP","MEN","YR","A","2020",79.2,
"FIN","LIFEEXP","MEN","YR","A","2021",79.3,
"FIN","LIFEEXP","WOMEN","YR","A","2018",84.5,
"FIN","LIFEEXP","WOMEN","YR","A","2019",84.8,
"FIN","LIFEEXP","WOMEN","YR","A","2020",84.8,
"FIN","LIFEEXP","WOMEN","YR","A","2021",84.7,
"FRA","LIFEEXP","MEN","YR","A","2018",79.7,
"FRA","LIFEEXP","MEN","YR","A","2019",79.9,
"FRA","LIFEEXP","MEN","YR","A","2020",79.2,
"FRA","LIFEEXP","MEN","YR","A","2021",79.3,
"FRA","LIFEEXP","WOMEN","YR","A","2018",85.8,
"FRA","LIFEEXP","WOMEN","YR","A","2019",85.9,
"FRA","LIFEEXP","WOMEN","YR","A","2020",85.3,
"FRA","LIFEEXP","WOMEN","YR","A","2021",85.5,
"DEU","LIFEEXP","MEN","YR","A","2018",78.6,
"DEU","LIFEEXP","MEN","YR","A","2019",79,
"DEU","LIFEEXP","MEN","YR","A","2020",78.7,
"DEU","LIFEEXP","WOMEN","YR","A","2018",83.3,
"DEU","LIFEEXP","WOMEN","YR","A","2019",83.7,
"DEU","LIFEEXP","WOMEN","YR","A","2020",83.5,
"GRC","LIFEEXP","MEN","YR","A","2018",79.3,
"GRC","LIFEEXP","MEN","YR","A","2019",79.2,
"GRC","LIFEEXP","MEN","YR","A","2020",78.8,
"GRC","LIFEEXP","MEN","YR","A","2021",77.5,
"GRC","LIFEEXP","WOMEN","YR","A","2018",84.4,
"GRC","LIFEEXP","WOMEN","YR","A","2019",84.2,
"GRC","LIFEEXP","WOMEN","YR","A","2020",83.9,
"GRC","LIFEEXP","WOMEN","YR","A","2021",83,
"HUN","LIFEEXP","MEN","YR","A","2018",72.7,
"HUN","LIFEEXP","MEN","YR","A","2019",73.1,
"HUN","LIFEEXP","MEN","YR","A","2020",72.3,
"HUN","LIFEEXP","MEN","YR","A","2021",71.1,
"HUN","LIFEEXP","WOMEN","YR","A","2018",79.6,
"HUN","LIFEEXP","WOMEN","YR","A","2019",79.7,
"HUN","LIFEEXP","WOMEN","YR","A","2020",79,
"HUN","LIFEEXP","WOMEN","YR","A","2021",78,
"IRL","LIFEEXP","MEN","YR","A","2018",80.4,
"IRL","LIFEEXP","MEN","YR","A","2019",80.8,
"IRL","LIFEEXP","MEN","YR","A","2020",80.8,
"IRL","LIFEEXP","WOMEN","YR","A","2018",84.1,
"IRL","LIFEEXP","WOMEN","YR","A","2019",84.7,
"IRL","LIFEEXP","WOMEN","YR","A","2020",84.4,
"ITA","LIFEEXP","MEN","YR","A","2018",81.2,
"ITA","LIFEEXP","MEN","YR","A","2019",81.4,
"ITA","LIFEEXP","MEN","YR","A","2020",80,
"ITA","LIFEEXP","MEN","YR","A","2021",80.6,
"ITA","LIFEEXP","WOMEN","YR","A","2018",85.6,
"ITA","LIFEEXP","WOMEN","YR","A","2019",85.7,
"ITA","LIFEEXP","WOMEN","YR","A","2020",84.5,
"ITA","LIFEEXP","WOMEN","YR","A","2021",85.1,
"LUX","LIFEEXP","MEN","YR","A","2018",80.1,
"LUX","LIFEEXP","MEN","YR","A","2019",80.2,
"LUX","LIFEEXP","MEN","YR","A","2020",79.9,
"LUX","LIFEEXP","MEN","YR","A","2021",80.7,
"LUX","LIFEEXP","WOMEN","YR","A","2018",84.6,
"LUX","LIFEEXP","WOMEN","YR","A","2019",85.2,
"LUX","LIFEEXP","WOMEN","YR","A","2020",84.5,
"LUX","LIFEEXP","WOMEN","YR","A","2021",84.9,
"NLD","LIFEEXP","MEN","YR","A","2018",80.3,
"NLD","LIFEEXP","MEN","YR","A","2019",80.6,
"NLD","LIFEEXP","MEN","YR","A","2020",79.7,
"NLD","LIFEEXP","MEN","YR","A","2021",79.9,
"NLD","LIFEEXP","WOMEN","YR","A","2018",83.4,
"NLD","LIFEEXP","WOMEN","YR","A","2019",83.7,
"NLD","LIFEEXP","WOMEN","YR","A","2020",83.1,
"NLD","LIFEEXP","WOMEN","YR","A","2021",83.1,
"POL","LIFEEXP","MEN","YR","A","2018",73.7,
"POL","LIFEEXP","MEN","YR","A","2019",74.1,
"POL","LIFEEXP","MEN","YR","A","2020",72.5,
"POL","LIFEEXP","MEN","YR","A","2021",71.7,
"POL","LIFEEXP","WOMEN","YR","A","2018",81.7,
"POL","LIFEEXP","WOMEN","YR","A","2019",81.9,
"POL","LIFEEXP","WOMEN","YR","A","2020",80.7,
"POL","LIFEEXP","WOMEN","YR","A","2021",79.7,
"PRT","LIFEEXP","MEN","YR","A","2018",78.3,
"PRT","LIFEEXP","MEN","YR","A","2019",78.7,
"PRT","LIFEEXP","MEN","YR","A","2020",78,
"PRT","LIFEEXP","MEN","YR","A","2021",78,
"PRT","LIFEEXP","WOMEN","YR","A","2018",84.5,
"PRT","LIFEEXP","WOMEN","YR","A","2019",84.8,
"PRT","LIFEEXP","WOMEN","YR","A","2020",84.1,
"PRT","LIFEEXP","WOMEN","YR","A","2021",84.3,
"SVK","LIFEEXP","MEN","YR","A","2018",73.9,
"SVK","LIFEEXP","MEN","YR","A","2019",74.3,
"SVK","LIFEEXP","MEN","YR","A","2020",73.5,
"SVK","LIFEEXP","MEN","YR","A","2021",71.3,
"SVK","LIFEEXP","WOMEN","YR","A","2018",80.8,
"SVK","LIFEEXP","WOMEN","YR","A","2019",81.2,
"SVK","LIFEEXP","WOMEN","YR","A","2020",80.4,
"SVK","LIFEEXP","WOMEN","YR","A","2021",78.3,
"ESP","LIFEEXP","MEN","YR","A","2018",80.7,
"ESP","LIFEEXP","MEN","YR","A","2019",81.1,
"ESP","LIFEEXP","MEN","YR","A","2020",79.6,
"ESP","LIFEEXP","MEN","YR","A","2021",80.3,
"ESP","LIFEEXP","WOMEN","YR","A","2018",86.3,
"ESP","LIFEEXP","WOMEN","YR","A","2019",86.7,
"ESP","LIFEEXP","WOMEN","YR","A","2020",85.2,
"ESP","LIFEEXP","WOMEN","YR","A","2021",86.2,
"SWE","LIFEEXP","MEN","YR","A","2018",80.9,
"SWE","LIFEEXP","MEN","YR","A","2019",81.5,
"SWE","LIFEEXP","MEN","YR","A","2020",80.6,
"SWE","LIFEEXP","MEN","YR","A","2021",81.4,
"SWE","LIFEEXP","WOMEN","YR","A","2018",84.3,
"SWE","LIFEEXP","WOMEN","YR","A","2019",84.8,
"SWE","LIFEEXP","WOMEN","YR","A","2020",84.2,
"SWE","LIFEEXP","WOMEN","YR","A","2021",85,
"TUR","LIFEEXP","MEN","YR","A","2018",75.6,
"TUR","LIFEEXP","MEN","YR","A","2019",75.9,
"TUR","LIFEEXP","WOMEN","YR","A","2018",81,
"TUR","LIFEEXP","WOMEN","YR","A","2019",81.3,
"USA","LIFEEXP","MEN","YR","A","2018",76.2,
"USA","LIFEEXP","MEN","YR","A","2019",76.3,
"USA","LIFEEXP","MEN","YR","A","2020",74.2,
"USA","LIFEEXP","WOMEN","YR","A","2018",81.2,
"USA","LIFEEXP","WOMEN","YR","A","2019",81.4,
"USA","LIFEEXP","WOMEN","YR","A","2020",79.9,
"EST","LIFEEXP","MEN","YR","A","2018",74,
"EST","LIFEEXP","MEN","YR","A","2019",74.5,
"EST","LIFEEXP","MEN","YR","A","2020",74.4,
"EST","LIFEEXP","MEN","YR","A","2021",72.4,
"EST","LIFEEXP","WOMEN","YR","A","2018",82.7,
"EST","LIFEEXP","WOMEN","YR","A","2019",83,
"EST","LIFEEXP","WOMEN","YR","A","2020",83,
"EST","LIFEEXP","WOMEN","YR","A","2021",81.3,
"SVN","LIFEEXP","MEN","YR","A","2018",78.5,
"SVN","LIFEEXP","MEN","YR","A","2019",78.7,
"SVN","LIFEEXP","MEN","YR","A","2020",77.8,
"SVN","LIFEEXP","MEN","YR","A","2021",77.9,
"SVN","LIFEEXP","WOMEN","YR","A","2018",84.4,
"SVN","LIFEEXP","WOMEN","YR","A","2019",84.5,
"SVN","LIFEEXP","WOMEN","YR","A","2020",83.4,
"SVN","LIFEEXP","WOMEN","YR","A","2021",84,
"LVA","LIFEEXP","MEN","YR","A","2018",70.1,
"LVA","LIFEEXP","MEN","YR","A","2019",70.9,
"LVA","LIFEEXP","MEN","YR","A","2020",70.6,
"LVA","LIFEEXP","MEN","YR","A","2021",68.6,
"LVA","LIFEEXP","WOMEN","YR","A","2018",79.7,
"LVA","LIFEEXP","WOMEN","YR","A","2019",80.1,
"LVA","LIFEEXP","WOMEN","YR","A","2020",80,
"LVA","LIFEEXP","WOMEN","YR","A","2021",78.2,
"LTU","LIFEEXP","MEN","YR","A","2018",70.9,
"LTU","LIFEEXP","MEN","YR","A","2019",71.6,
"LTU","LIFEEXP","MEN","YR","A","2020",70.1,
"LTU","LIFEEXP","MEN","YR","A","2021",69.9,
"LTU","LIFEEXP","WOMEN","YR","A","2018",80.7,
"LTU","LIFEEXP","WOMEN","YR","A","2019",81.2,
"LTU","LIFEEXP","WOMEN","YR","A","2020",80.1,
"LTU","LIFEEXP","WOMEN","YR","A","2021",79,
"BGR","LIFEEXP","MEN","YR","A","2018",71.5,
"BGR","LIFEEXP","MEN","YR","A","2019",71.6,
"BGR","LIFEEXP","MEN","YR","A","2020",70,
"BGR","LIFEEXP","MEN","YR","A","2021",68.1,
"BGR","LIFEEXP","WOMEN","YR","A","2018",78.6,
"BGR","LIFEEXP","WOMEN","YR","A","2019",78.8,
"BGR","LIFEEXP","WOMEN","YR","A","2020",77.5,
"BGR","LIFEEXP","WOMEN","YR","A","2021",75.1,
"HRV","LIFEEXP","MEN","YR","A","2018",74.9,
"HRV","LIFEEXP","MEN","YR","A","2019",75.5,
"HRV","LIFEEXP","MEN","YR","A","2020",74.7,
"HRV","LIFEEXP","MEN","YR","A","2021",73.7,
"HRV","LIFEEXP","WOMEN","YR","A","2018",81.5,
"HRV","LIFEEXP","WOMEN","YR","A","2019",81.6,
"HRV","LIFEEXP","WOMEN","YR","A","2020",80.9,
"HRV","LIFEEXP","WOMEN","YR","A","2021",79.9,
"ROU","LIFEEXP","MEN","YR","A","2018",71.7,
"ROU","LIFEEXP","MEN","YR","A","2019",71.9,
"ROU","LIFEEXP","MEN","YR","A","2020",70.4,
"ROU","LIFEEXP","MEN","YR","A","2021",69.4,
"ROU","LIFEEXP","WOMEN","YR","A","2018",79.2,
"ROU","LIFEEXP","WOMEN","YR","A","2019",79.5,
"ROU","LIFEEXP","WOMEN","YR","A","2020",78.3,
"ROU","LIFEEXP","WOMEN","YR","A","2021",76.7,
